name,artist,album_name,popularity,user
Canto a Caracas,Billo's,Canto a Caracas,0,soyarepita
Peces del Guaire,Desorden Público,Descomposición,3,soyarepita
Cerro Avila,Ilan Chester,El Comienzo en un Sotano de la Florida,0,soyarepita
Valle De Balas,Desorden Público,Plomo Revienta,22,marianamartinh
Las Caraqueñas,Guaco,Guaco Es Guaco,29,soyarepita
Epa Isidoro,Billo's,Canto a Caracas,0,soyarepita
Caracas Tiene Su Guaguanco,Justo Betancourt,Pa Bravo Yo,0,1253681944
Luna Caraqueña,Billo's,Canto a Caracas,0,soyarepita
Caminando por Caracas,Piero,Piero,0,soyarepita
Caracas de Noche - Original Mix,Javith,Caracas de Noche (Remixes),26,1253681944
La Sifrina,Medioevo,La Sifrina,0,1253681944
La Vecina,Los Amigos Invisibles,Arepa 3000,42,1245001868
Caracas: Te Quiero _ _ _ _ _,Masseratti 2Lts,Colores de Ideas #7,13,1245001868
La Hora De Caracas,Telegrama,Cambia Tus Amigos,0,1245001868
En La Ciudad De La Furia - Remasterizado 2007,Soda Stereo,Me Verás Volver (Hits & Más),50,marianamartinh
