,name,post,profile,sentiment
0,Gabriel Pizzolante,"Today it’s National Love Your Pet Day, so I’m gonna make it all about my gorgeous dog, Milo! 🐶Last week we had a lovely photo session at our friends from Andaz London Liverpool Street and the pictures are amazing! So, sharing them here to brighten up our Monday! 😀🐶We need more hotels as dog-friendly as this one 🙃 and who doesn’t like a dog in the office? 😋",https://www.linkedin.com/in/gabrielpizzolante,0.9822
1,Personio,"Muchos empleados encuentran ineficiencias similares a la hora de realizar su trabajo y es que según los resultados de nuestro estudio, los empleados afirman perder el 90% de su tiempo en tareas no relacionadas con su trabajo: 🔍 Consultas de RR. HH. ⚙️ Procesos ineficientes📑 Gestiones administrativas innecesarias Descubre qué hacer para frenar estas ineficacias en nuestro último estudio de recursos humanos.",/in/ACoAAAVtnBgBZBp5mKF2doNe_91mPbt_OIzdonU/,-0.296
2,Benjamin Rogojan,"Are you looking to learn more about data engineering for free?Here are 7 free resources you can use to jump start your data engineering journey.A free mini-course if you will.What Skills Do Data Engineers Need?1. https://lnkd.in/ephMRrFAData Engineering Vocab 1012. https://lnkd.in/gRQagRaxPython Libraries You Should Know As A Data Engineer3. https://lnkd.in/gKxq8v3TWhat Is A Data Pipeline And What Should You Consider When Building One4. https://lnkd.in/ginyTQYMTransactional Databases Vs Data Warehouses Vs Data Lakes5. https://lnkd.in/gxpbCRPiHow To Come Up With A Data Engineering Project?6. https://lnkd.in/gZTGK2CzFinally, kind of a fun one:Different Types Of Data Engineering Team - To help you figure out if you'd prefer a different type of ""data engineering role""7. https://lnkd.in/g3ujYnRmWhat are your favorite free resources to learn data engineering?",https://www.linkedin.com/in/ishmael-ho,0.9616
3,Ironhack Germany,"If this isn't love at first sight? Happy Galentine's day! 👯‍♀️ - Joining a Bootcamp with a friend can be a valuable experience for both of you. Ligia Fascioni and Andréia Salame met each other in 2016 and found out they were attending the same Bootcamp. You can see their joy in their eyes! 💘Thinking about joining a bootcamp? Why not bring a friend along for the ride? Not only do you have someone to support you and keep you accountable, but you also have someone to bounce ideas off of and collaborate with. Plus, having a friend by your side can make the journey more fun and enjoyable. Double the fun, double the tech skills with Ironhack -> https://lnkd.in/dzD_EN3E",https://www.linkedin.com/in/dianablaum,0.9836
4,Sergi Gomez,"""Can you please create a new dimension for this metric?""This is one of the most frequent requests that data teams get from data consumers. A simple but repetitive one that fills our backlog at the end of the day. The consequence? Data teams get overloaded with those ""quick changes"" and they can't focus on higher-impact tasks.Data consumers should be able to make those simple changes themselves. But if we try to force them to adopt SQL/dbt, it won't fly, trust me. Yes, they will give it a try but, after a few weeks, they'll get back to creating a new JIRA ticket.If we want this habit to stick, we have to make it easier, and, whenever possible, allow them to work on the tool that they already use Every, Single, Day: Excel / Google Sheets.Google Sheets are the ideal medium when we need to create a new dimension that is simply the mapping from an existing one.Example: ""I want a new dimension called Product Category as a higher-level dimension of Product Name""I constantly see data models full of ""CASE WHEN X THEN Y"". Please, don't do that!Instead, the following is a very very simple but efficient method to do it much faster and that provides way more control & autonomy for end users:(I'll use the example of Product Category -> Product Name for sake of illustration):1- Create a new table on Google Sheets with all Product Name values - Note: You should as well include all Primary Keys (e.g. product ID) to avoid issues such as duplicates. 2- Create a new column (Product Category) and ask the data consumer to do the mapping.3- Integrate this table into your Data Warehouse (DW) using Airbyte. Making this connection on Airbyte has a bit of heavy lifting (service accounts, keys...), and there may be tools that make it easier, (maybe we should try Portable, Ethan Aaron? 🙂 ). Note that you won't need Airbyte if you use BigQuery as DW. BigQuery already provides seamless Google Sheets integration. 4- Add the new dimensions to the corresponding dbt model with a simple join operation, and run the dbt models - (run some tests to make sure there aren't duplicates!)Voilà, the new dimension is available on the BI. And the best thing: If data consumers want to make any changes to this dimension, they can do it themselves and it will be automatically updated on the BI! 😍 Watch the demo if you want to see how to do it👇. There is a big list of examples for which this method is very handy:- Create a new dimension that indicates the validity of an order based on other dimensions, so end users can later on filter out non-valid orders for your Revenue metrics 😉 - Create a new dimension that gives a name to an identifier (i.e. a number). So instead of distributor_id you can have the distributor name - ...At Saivo, we love making data teams' life easier by empowering data consumers to do these simple tasks themselves. It's a win-win formula.Would love to get your feedback! #nocode #dbt #datanalytics #businessanalyst ",https://www.linkedin.com/in/sergigomezpalleja,0.9976
5,Openbank,Buscamos desarrolladores. ¿Aceptas el desafío? Consigue hasta 10.000€ al recomendarnos desarrolladores. Hasta 30/4/23. https://lnkd.in/gQT3uX8Z,https://www.linkedin.com/company/openbank/,0.0
6,Beatriz Zatarain Durán,"El análisis de datos está revolucionando el mundo de la sostenibilidad🚀El análisis de #datos es una herramienta tan poderosa que puede ayudar a abordar una amplia variedad de problemas sociales y ambientales, incluyendo la #sostenibilidad. Al recopilar y analizar grandes cantidades de información, es posible identificar tendencias y patrones que pueden ayudar a tomar decisiones informadas sobre cómo abordar los desafíos de sostenibilidad a nivel local y global.Por ejemplo, el análisis de datos está ayudando a mejorar la sostenibilidad en el sector de la agricultura de una manera increíble. Las granjas están utilizando tecnologías como sensores, drones y aprendizaje automático para recopilar datos sobre las condiciones climáticas, el suelo y las prácticas de cultivo. Al analizar esta información, los agricultores pueden optimizar sus prácticas de cultivo para reducir el uso de agua y fertilizantes, mejorar la calidad del suelo y aumentar la eficiencia energética en la producción de alimentos.Además, al tener una visión más clara de las prácticas sostenibles y no sostenibles, los agricultores y las empresas agrícolas pueden tomar medidas para mejorar su huella de carbono y contribuir a la lucha contra el cambio climático.En resumen, el análisis de datos es una herramienta esencial para abordar los desafíos de sostenibilidad en un mundo cada vez más interconectado y en constante evolución. Al utilizar los datos de manera efectiva, podemos trabajar juntos para construir un futuro más sostenible para todos.",https://www.linkedin.com/in/yonatan-rodriguez,-0.296
7,Juan M. R.,"Si no usas IA en tu día a día, estás quedándote atrás. 8 herramientas brutales y gratuitas que te ahorrarán horas de trabajo 👇· kickresume.com - el mejor generador de currículum que he encontrado hasta la fecha, funciona con GPT-3. Crea currículums, cartas de presentación, comprueba la gramática y estructura, etc. Plan gratuito bastante generoso.· remove.bg - Elimina fondos de cualquier imágen en un clic. Perfecto para crear una buena foto para tus redes sociales, presentaciones, etc.· unscreen.com - Como remove .bg pero para vídeos. Elimina los fondos de video en segundos con un solo clic. · Looka.com - La AI que diseña tu logo y marca por ti sin gastar ni un €. Introduce tu sector, palabras clave y colores para obtener una imagen de marca adaptada a tus necesidades. Muy buena.· ai2sql.io - Escribe SQL en segundos. Indica lo que necesitas en un inglés simple o español, y AI2SQL te devolverá la respuesta en código SQL. Brutal!· excelformulabot.com - ¿Necesitas hacer una fórmula compleja de Excel o has visto una fórmula que no entiendes? Indica lo que necesitas en un inglés simple y obtén la fórmula lista para copiar y pegar. Pega las fórmulas complejas para que te explique cómo funcionan. Vale para Excel y Google Sheets. Un must para tu día a día!· durable.co - ¿Necesitas crear una web rápida para un proyecto o tu negocio y no sabes programar? Dale información sobre el tipo de web que necesitas y Durable generará una página web que luego podrás editar a su gusto sin usar código. · useblackbox.io. - ¿Eres desarrollador? Aumenta tu productividad x 10.BlackBox es un asistente de programación impulsado por IA. Convierte cualquier pregunta en código, autocompleta código o extrae código de vídeos o imágenes. Gran complemento junto con su extensión VScode.¿Cuál más usas y debería estar en esta lista?",https://www.linkedin.com/in/yaiza-jim%C3%A9nez-briongos,-0.7932
8,OgilvyES,"Hoy se jubila Jesús Hernández, el director financiero de Ogilvy Barcelona. Después de casi 28 años, Jesús ha sido clave para nuestro abismático crecimiento año tras año. Gracias por hacerlo posible.Tu inmenso compromiso con la empresa nos llena de valor y nos ha llevado a lo más alto. Te deseamos la mejor de las jubilaciones y que disfrutes de esta etapa al máximo. ¡Te echaremos de menos!#OgilvyBarcelona | OgilvyES",https://www.linkedin.com/company/ogilvy-spain/,0.6239
9,The Valley Digital Business School,"Conviértete en Product Manager en 15 semanas.Apúntate al Master en Digital Product Management y en 3 meses estarás desarrollando proyectos con empresas tecnológicas, 80% práctica, obteniendo además 2 certificaciones altamente reconocidas.De la mano de los mejores developers profesionales en activo: Amazon, Lego, Bankinter, Caixabank, job&talent, etc.Alcanza tus objetivos. Con salarios de hasta 70K.Apúntate ya. ¡Últimas plazas!",/in/ACoAAAcAGb0B_UWsX45WqeFfTNBAVcViIw9O3HE/,0.2481
